Bus No.,Load MW,Load MVAR,Demand curve intercept,Demand curve slope
1,51.0,27.0,40,-0.1961
2,20.0,9.0,40,-0.5000
3,39.0,10.0,40,-0.2564
4,30.0,12.0,40,-0.3333
6,52.0,22.0,40,-0.1923
7,19.0,2.0,40,-0.5263
11,70.0,23.0,40,-0.1429
12,47.0,10.0,40,-0.2128
13,34.0,16.0,40,-0.2941
14,14.0,1.0,40,-0.7143
15,90.0,30.0,40,-0.1111
16,25.0,10.0,40,-0.4000
17,11.0,3.0,40,-0.9091
18,60.0,34.0,40,-0.1667
19,45.0,25.0,40,-0.2222
20,18.0,3.0,40,-0.5556
21,14.0,8.0,40,-0.7143
22,10.0,5.0,40,-1.0000
23,7.0,3.0,40,-1.4286
27,62.0,13.0,40,-0.1613
28,17.0,7.0,40,-0.5882
29,24.0,4.0,40,-0.4167
31,43.0,27.0,40,-0.2326
32,59.0,23.0,40,-0.1695
33,23.0,9.0,40,-0.4348
34,59.0,26.0,40,-0.1695
35,33.0,9.0,40,-0.3030
36,31.0,17.0,40,-0.3226
39,27.0,11.0,40,-0.3704
40,20.0,23.0,40,-0.5000
41,37.0,10.0,40,-0.2703
42,37.0,23.0,40,-0.2703
43,18.0,7.0,40,-0.5556
44,16.0,8.0,40,-0.6250
45,53.0,22.0,40,-0.1887
46,28.0,10.0,40,-0.3571
47,34.0,0.0,40,-0.2941
48,20.0,11.0,40,-0.5000
49,87.0,30.0,40,-0.1149
50,17.0,4.0,40,-0.5882
51,17.0,8.0,40,-0.5882
52,18.0,5.0,40,-0.5556
53,23.0,11.0,40,-0.4348
54,113.0,32.0,40,-0.0885
55,63.0,22.0,40,-0.1587
56,84.0,18.0,40,-0.1190
57,12.0,3.0,40,-0.8333
58,12.0,3.0,40,-0.8333
59,277.0,113.0,40,-0.0361
60,78.0,3.0,40,-0.1282
62,77.0,14.0,40,-0.1299
66,39.0,18.0,40,-0.2564
67,28.0,7.0,40,-0.3571
70,66.0,20.0,40,-0.1515
74,68.0,27.0,40,-0.1471
75,47.0,11.0,40,-0.2128
76,68.0,36.0,40,-0.1471
77,61.0,28.0,40,-0.1639
78,71.0,26.0,40,-0.1408
79,39.0,32.0,40,-0.2564
80,130.0,26.0,40,-0.0769
82,54.0,27.0,40,-0.1852
83,20.0,10.0,40,-0.5000
84,11.0,7.0,40,-0.9091
85,24.0,15.0,40,-0.4167
86,21.0,10.0,40,-0.4762
88,48.0,10.0,40,-0.2083
90,78.0,42.0,40,-0.1282
92,65.0,10.0,40,-0.1538
93,12.0,7.0,40,-0.8333
94,30.0,16.0,40,-0.3333
95,42.0,31.0,40,-0.2381
96,38.0,15.0,40,-0.2632
97,15.0,9.0,40,-0.6667
98,34.0,8.0,40,-0.2941
100,37.0,18.0,40,-0.2703
101,22.0,15.0,40,-0.4545
102,5.0,3.0,40,-2.0000
103,23.0,16.0,40,-0.4348
104,38.0,25.0,40,-0.2632
105,31.0,26.0,40,-0.3226
106,43.0,16.0,40,-0.2326
107,28.0,12.0,40,-0.3571
108,2.0,1.0,40,-5.0000
109,8.0,3.0,40,-1.2500
110,39.0,30.0,40,-0.2564
112,25.0,13.0,40,-0.4000
114,8.0,3.0,40,-1.2500
115,22.0,7.0,40,-0.4545
117,20.0,8.0,40,-0.5000
118,33.0,15.0,40,-0.3030
