RGU Nodes,1,2,3,4,5,6,7,8,9,10
5,0.8687153495614095,0.0692873171885875,0.7056498051910784,0.23215582309045346,0.19071988027493447,0.27817048236927977,0.35013682533223456,0.014321921568084539,0.055802340052103605,0.1117528056651318
6,0.9122445720914039,0.6706540996965809,0.2763266096602284,0.6910976548020715,0.8352589359602728,0.15070086696962726,0.4963924725075526,0.45599977065222197,0.7266437822895567,0.10288663354875494
7,0.629815107628448,0.5602603117818977,0.5437631333101987,0.38071035430528555,0.668590781449427,0.8856938056393948,0.6524255359338812,0.24120811538620757,0.8938961581355,0.8667376896766972
9,0.8609533089260756,0.44813486996332663,0.9273466750090215,0.5797875627362333,0.10405769222554095,0.04745621356028329,0.46150548174643946,0.3117585045525296,0.3415536510983861,0.21191363414936526
10,0.42038683159510126,0.8342838904287351,0.23833993987331192,0.34887840482494237,0.8556242228569784,0.46036612010140676,0.07147199297113782,0.9197403807950004,0.8954154860300507,0.05778416104855255
11,0.3242697848933177,0.03158942840193313,0.9177870715620654,0.448356607035846,0.5066273690410058,0.8326026108119202,0.6846161229233384,0.24976412272830473,0.038728417813747695,0.2165680223632046
13,0.8711818810098616,0.9906564507188005,0.3617566701766106,0.9031943774303856,0.8056505355217578,0.7535086541414515,0.40874876611309574,0.8829366330982028,0.27395827735679,0.8629720886076522
15,0.9331191322144535,0.5450033818916802,0.15769735876268698,0.29011028336096656,0.904319042238487,0.7918115150111315,0.93975005184845,0.6885025232699169,0.1824875706540089,0.8099131540938376
16,0.3696436219881992,0.40722967985687153,0.4614713953853654,0.3263740725075712,0.12487110436719806,0.8820752743172413,0.8830657875163296,0.9218879430854525,0.48555025343310887,0.44107329079833024
21,0.28289723418154733,0.7309974499714639,0.10908613311396309,0.5929788109741521,0.7752138230555642,0.2876075608452685,0.3408537827556788,0.7560322960697469,0.716855362113246,0.20939446034294862
23,0.8041685517200798,0.004980929774615728,0.8912142035305097,0.2028205596603484,0.021717291664190452,0.2268134640111651,0.5903679448551574,0.4999338253550668,0.23221363653160987,0.17762581249974485
26,0.25591335450960495,0.30843164807213286,0.8786728015934059,0.5306039246305182,0.30402063857836503,0.014041455586699891,0.004056767400089534,0.7218417969944996,0.9132196433868686,0.06182545089759972
28,0.8575933177231879,0.5566671279809834,0.9371069192122181,0.6174803642808709,0.5161488397856568,0.7031719637748136,0.6200954095838521,0.35801550835209595,0.400375096073877,0.5361209910229939
29,0.34258006547482855,0.9839746493645332,0.39667224306577475,0.8597744744031237,0.10179991040172265,0.1995445101905714,0.7451632582892501,0.20552914857710225,0.15021122525854713,0.20914933386203238
33,0.2425123330603467,0.19066248901705363,0.6684571256295004,0.07593223632561519,0.5082124716220263,0.3852232099605063,0.14761408207706295,0.4723135565093193,0.10843037483243634,0.6065660177087048
34,0.19941089376545162,0.3947738030249266,0.3264066259562747,0.8132722894415665,0.681489425698126,0.6438325283248387,0.6960836517319479,0.9331349474837974,0.28828637967460446,0.9616264985793784
40,0.1531063488142541,0.45868299378625477,0.14162540195357598,0.6833428602001472,0.42049291994261595,0.46992258504385065,0.8769159685829899,0.4578316885461856,0.32648391726834847,0.2578270595581714
50,0.8511119807110163,0.4276331695790445,0.825410457645234,0.0324512426413327,0.5037832230430193,0.009414103095066406,0.7311148389448731,0.6940926051992685,0.2544884157190228,0.4661440697609147
52,0.8429241730886418,0.49778382794216025,0.8678166554199527,0.09662534155051405,0.2563711665356754,0.9874567760777181,0.9042229997002983,0.6104309861128908,0.28918969588591026,0.9902449970593624
55,0.42993313506385045,0.22774399680495505,0.30563010641015576,0.2222560257445919,0.8449873087371701,0.7567483842766428,0.3312769841391472,0.3572849127692017,0.6821306603095594,0.7238588392891011
