Line No.,Bus No. 1,Bus No. 2,R (Resistance),X (Reactance),Rating MVA
1,37,9001,0.00006,0.0005,100
2,9001,9005,0.0008,0.0035,100
3,9001,9006,0.02439,0.4368,100
4,9001,9012,0.03624,0.6490,100
5,9005,9051,0.01578,0.3749,100
6,9005,9052,0.01578,0.3749,100
7,9005,9053,0.01602,0.3805,100
8,9005,9054,0,0.1520,100
9,9005,9055,0,0.8000,100
10,9006,9007,0.05558,0.2467,100
11,9006,9003,0.11118,0.4933,100
12,9006,9003,0.11118,0.4933,100
13,9012,9002,0.07622,0.4329,100
14,9012,9002,0.07622,0.4329,100
15,9002,9021,0.0537,0.0703,100
16,9021,9023,1.1068,0.9528,100
17,9021,9022,0.44364,2.8152,100
18,9002,9024,0.50748,3.2202,100
19,9023,9025,0.66688,3.9440,100
20,9023,9026,0.6113,3.6152,100
21,9007,9071,0.4412,2.9668,100
22,9007,9072,0.30792,2.0570,100
23,9007,9003,0.0558,0.2467,100
24,9003,9031,0.73633,4.6724,100
25,9003,9032,0.76978,4.8846,100
26,9003,9033,0.75732,4.8056,100
27,9003,9044,0.07378,0.0635,100
28,9044,9004,0.03832,0.0289,100
29,9004,9041,0.36614,2.4560,100
30,9004,9042,1.0593,5.4536,100
31,9004,9043,0.1567,1.6994,100
32,9003,9034,0.13006,1.3912,100
33,9003,9035,0.54484,3.4572,100
34,9003,9036,0.15426,1.6729,100
35,9003,9037,0.3849,2.5712,100
36,9003,9038,0.4412,2.9668,100
37,9012,9121,0.23552,0.9904,100
38,9053,9533,0,0.7500,100
39,1,5,0.001,0.0060,100
40,2,6,0.001,0.0090,100
41,2,8,0.006,0.0270,100
42,3,7,0,0.003,100
43,3,19,0.008,0.069,100
44,3,150,0.001,0.007,100
45,4,16,0.002,0.019,100
46,5,9,0.006,0.029,100
47,7,12,0.001,0.009,100
48,7,131,0.001,0.007,100
49,8,11,0.013,0.0595,100
50,8,14,0.013,0.042,100
51,9,11,0.006,0.027,100
52,11,13,0.008,0.034,100
53,12,21,0.002,0.015,100
54,13,20,0.006,0.034,100
55,14,15,0.014,0.042,100
56,15,37,0.065,0.248,100
57,15,89,0.099,0.248,100
58,15,90,0.096,0.363,100
59,16,42,0.002,0.022,100
60,19,21,0.002,0.018,100
61,19,87,0.013,0.08,100
62,20,22,0.016,0.033,100
63,20,27,0.069,0.186,100
64,21,24,0.004,0.034,100
65,22,23,0.052,0.111,100
66,23,25,0.019,0.039,100
67,24,319,0.007,0.068,100
68,25,26,0.036,0.071,100
69,26,27,0.045,0.12,100
70,26,320,0.043,0.13,100
71,33,34,0,0.063,100
72,33,38,0.0025,0.012,100
73,33,40,0.006,0.029,100
74,33,41,0.007,0.043,100
75,34,42,0.001,0.008,100
76,35,72,0.012,0.06,100
77,35,76,0.006,0.014,100
78,35,77,0.01,0.029,100
79,36,88,0.004,0.027,100
80,37,38,0.008,0.047,100
81,37,40,0.022,0.064,100
82,37,41,0.01,0.036,100
83,37,49,0.017,0.081,100
84,37,89,0.102,0.254,100
85,37,90,0.047,0.127,100
86,38,41,0.008,0.037,100
87,38,43,0.032,0.087,100
88,39,42,0.0006,0.0064,100
89,40,48,0.026,0.154,100
90,41,42,0,0.029,100
91,41,49,0.065,0.191,100
92,41,51,0.031,0.089,100
93,42,46,0.002,0.014,100
94,43,44,0.026,0.072,100
95,43,48,0.095,0.262,100
96,43,53,0.013,0.039,100
97,44,47,0.027,0.084,100
98,44,54,0.028,0.084,100
99,45,60,0.007,0.041,100
100,45,74,0.009,0.054,100
101,46,81,0.005,0.042,100
102,47,73,0.052,0.145,100
103,47,113,0.043,0.118,100
104,48,107,0.025,0.062,100
105,49,51,0.031,0.094,100
106,51,52,0.037,0.109,100
107,52,55,0.027,0.08,100
108,53,54,0.025,0.073,100
