Node,barQ_i(capacity),c_i(fixed cost),v_i(variable cost)
3,148,161,3.5684813308193846
4,133,165,3.912790433753084
5,135,172,4.225908071296241
6,109,170,4.9516334415739856
8,109,157,4.906853346600348
9,183,157,3.798983121880094
11,170,190,3.74574274491479
12,111,159,3.8579564226732757
13,179,169,3.2217062370972056
14,178,193,4.660313789663115
16,104,167,4.776914960037997
17,189,166,3.7511634393330535
20,162,162,4.450574653088061
21,161,196,4.483359289147852
22,124,191,3.879796190105997
23,176,190,4.711514644320047
24,142,171,4.957601698790645
25,178,170,4.9186823569969
26,179,152,3.8698686736501795
28,159,166,3.36631951957791
29,153,190,4.573427014622258
30,147,193,4.8901167072944425
32,101,162,4.03261014051171
33,162,155,3.5603769877470897
34,101,159,4.819160059442845
35,184,183,4.732399047670378
37,139,161,3.9782671460482866
38,163,170,4.740499967640629
39,189,177,3.778997257744439
40,189,194,3.0524032558787826
