Node,barQ_i(capacity),c_i(fixed cost),v_i(variable cost)
1,193,190,4.682634559224766
2,118,156,3.133380017534203
6,111,196,3.6886199576082506
10,113,198,3.8605974638956666
12,172,163,4.93212416156814
13,197,171,4.124463684456914
14,192,176,3.5177291863418647
15,166,182,3.4833514281886897
17,196,172,4.776236641318359
18,187,157,3.4517388568346488
20,101,196,3.2491094116705668
21,111,184,3.5766615140151554
22,186,152,4.172246129625465
23,108,190,4.108181004346536
24,198,186,4.619421551825555
25,182,159,4.120951904012371
26,195,180,3.576842428862421
28,136,175,3.8257926853617854
29,114,151,4.636241941941821
30,151,196,4.253012924839507
31,197,185,4.918155285394884
32,136,165,3.738808822183362
33,188,150,4.105223021042574
34,138,154,4.187848403226337
35,182,187,4.69658241655012
36,122,157,3.2909470763730635
37,147,175,3.8130206734962533
38,132,194,4.819917923324594
39,123,196,3.0861337771364084
40,189,163,4.645412560363004
