Node,barQ_i(capacity),c_i(fixed cost),v_i(variable cost)
1,161,168,3.963344336518717
2,151,194,3.7780126126604108
4,127,176,4.5938826486851125
5,173,198,3.538027406034633
6,115,169,4.626269975389833
7,137,187,3.7153560044615563
10,146,188,3.6628262053805805
11,144,175,4.8392699627298885
12,116,168,4.740146704890879
13,152,153,4.080768310073182
14,149,162,4.650752172476237
15,154,193,4.733925741133431
16,107,172,4.5388819293364495
17,142,199,4.171706800907038
20,101,190,4.475928335084442
22,124,156,3.1102712564398427
23,153,176,3.654452891966922
24,164,167,4.042941348468245
25,139,183,3.2471470171844095
26,138,166,3.4151599270225406
27,199,180,3.3608827360624307
29,174,165,3.479946814304318
