RGU Nodes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
4,0.8596103976430317,0.9499036769097514,0.3242697848933177,0.19941089376545162,0.03158942840193313,0.3947738030249266,0.9177870715620654,0.3264066259562747,0.448356607035846,0.8132722894415665,0.5066273690410058,0.681489425698126,0.8326026108119202,0.6438325283248387,0.6846161229233384,0.6960836517319479,0.24976412272830473,0.9331349474837974,0.038728417813747695,0.28828637967460446,0.2165680223632046,0.9616264985793784,0.15253909027711576,0.8220249845913568,0.37328067943506293
5,0.5387042037622287,0.7767524507393174,0.8711818810098616,0.1531063488142541,0.9906564507188005,0.45868299378625477,0.3617566701766106,0.14162540195357598,0.9031943774303856,0.6833428602001472,0.8056505355217578,0.42049291994261595,0.7535086541414515,0.46992258504385065,0.40874876611309574,0.8769159685829899,0.8829366330982028,0.4578316885461856,0.27395827735679,0.32648391726834847,0.8629720886076522,0.2578270595581714,0.8527832335790639,0.35923471378035743,0.6683720758097687
6,0.4392228742671078,0.8188004900218011,0.9331191322144535,0.8511119807110163,0.5450033818916802,0.4276331695790445,0.15769735876268698,0.825410457645234,0.29011028336096656,0.0324512426413327,0.904319042238487,0.5037832230430193,0.7918115150111315,0.009414103095066406,0.93975005184845,0.7311148389448731,0.6885025232699169,0.6940926051992685,0.1824875706540089,0.2544884157190228,0.8099131540938376,0.4661440697609147,0.32372134781201367,0.8077896194682597,0.5323001333415976
7,0.32509705994315485,0.15366353486350104,0.3696436219881992,0.8429241730886418,0.40722967985687153,0.49778382794216025,0.4614713953853654,0.8678166554199527,0.3263740725075712,0.09662534155051405,0.12487110436719806,0.2563711665356754,0.8820752743172413,0.9874567760777181,0.8830657875163296,0.9042229997002983,0.9218879430854525,0.6104309861128908,0.48555025343310887,0.28918969588591026,0.44107329079833024,0.9902449970593624,0.5861401960118398,0.4721433098097544,0.9651444870638164
9,0.9434158603568547,0.8875681785185988,0.28289723418154733,0.42993313506385045,0.7309974499714639,0.22774399680495505,0.10908613311396309,0.30563010641015576,0.5929788109741521,0.2222560257445919,0.7752138230555642,0.8449873087371701,0.2876075608452685,0.7567483842766428,0.3408537827556788,0.3312769841391472,0.7560322960697469,0.3572849127692017,0.716855362113246,0.6821306603095594,0.20939446034294862,0.7238588392891011,0.7589623935774297,0.5547655387010428,0.0539121567276285
11,0.7519598772768145,0.8687153495614095,0.8041685517200798,0.0692873171885875,0.004980929774615728,0.7056498051910784,0.8912142035305097,0.23215582309045346,0.2028205596603484,0.19071988027493447,0.021717291664190452,0.27817048236927977,0.2268134640111651,0.35013682533223456,0.5903679448551574,0.014321921568084539,0.4999338253550668,0.055802340052103605,0.23221363653160987,0.1117528056651318,0.17762581249974485,0.03994086873366032,0.23463364106931928,0.4102318871075712,0.059945071064839484
14,0.4332047376557303,0.9122445720914039,0.25591335450960495,0.6706540996965809,0.30843164807213286,0.2763266096602284,0.8786728015934059,0.6910976548020715,0.5306039246305182,0.8352589359602728,0.30402063857836503,0.15070086696962726,0.014041455586699891,0.4963924725075526,0.004056767400089534,0.45599977065222197,0.7218417969944996,0.7266437822895567,0.9132196433868686,0.10288663354875494,0.06182545089759972,0.6816474469411996,0.6755328375999571,0.4425420017500178,0.5125828724373007
17,0.9506012562660161,0.629815107628448,0.8575933177231879,0.5602603117818977,0.5566671279809834,0.5437631333101987,0.9371069192122181,0.38071035430528555,0.6174803642808709,0.668590781449427,0.5161488397856568,0.8856938056393948,0.7031719637748136,0.6524255359338812,0.6200954095838521,0.24120811538620757,0.35801550835209595,0.8938961581355,0.400375096073877,0.8667376896766972,0.5361209910229939,0.20157504248232871,0.16843807014669376,0.5987548437207334,0.455208311793165
22,0.4944435012596956,0.8609533089260756,0.34258006547482855,0.44813486996332663,0.9839746493645332,0.9273466750090215,0.39667224306577475,0.5797875627362333,0.8597744744031237,0.10405769222554095,0.10179991040172265,0.04745621356028329,0.1995445101905714,0.46150548174643946,0.7451632582892501,0.3117585045525296,0.20552914857710225,0.3415536510983861,0.15021122525854713,0.21191363414936526,0.20914933386203238,0.6140110786260566,0.06524711562741492,0.40098863466329526,0.9774727254474285
29,0.20714129596126885,0.42038683159510126,0.2425123330603467,0.8342838904287351,0.19066248901705363,0.23833993987331192,0.6684571256295004,0.34887840482494237,0.07593223632561519,0.8556242228569784,0.5082124716220263,0.46036612010140676,0.3852232099605063,0.07147199297113782,0.14761408207706295,0.9197403807950004,0.4723135565093193,0.8954154860300507,0.10843037483243634,0.05778416104855255,0.6065660177087048,0.4521766647675599,0.0076734569176578615,0.02560636780636749,0.19336983207989988
