Node,barQ_i(capacity),c_i(fixed cost),v_i(variable cost)
1,140,156,3.909519637165163
2,115,166,4.333986087707761
3,100,176,4.717509804919708
4,179,199,3.6745950114973978
5,142,162,4.587309055517312
6,135,177,3.7979745061760877
7,163,174,4.188107764775415
8,156,175,4.474933965580454
9,193,177,4.002714408834253
10,161,185,4.381551542413399
13,192,155,4.394626964717602
14,157,199,3.0114253798558366
15,132,193,3.078131066511629
16,132,188,3.298076621631099
18,198,163,3.4272702686984653
20,158,172,3.406429214189064
21,118,172,3.0979311635058995
22,183,165,3.43442280449956
24,182,152,4.201894738800593
25,101,187,4.772150322860706
26,115,150,3.6990076153456624
27,169,188,3.7328095978127642
29,140,159,3.833483466289538
30,134,182,4.360683566092261
32,107,167,4.570547904417624
33,119,161,4.881916164619189
35,185,196,3.751400082959423
36,183,173,4.413548408947846
37,182,194,3.68326801994834
39,157,159,4.648003597285686
