Node,barQ_i(capacity),c_i(fixed cost),v_i(variable cost)
2,120,163,4.235642564035867
3,175,183,4.837100558910142
4,193,158,4.2512992155359495
5,135,196,4.133224119132227
8,199,179,3.0336638080502567
9,169,177,4.320469891295889
10,182,172,4.757853264202686
11,161,158,4.280931103141499
12,158,186,4.039286663705811
13,191,187,3.676499487170462
14,183,187,4.987436088911866
15,161,193,3.587347920961229
17,167,150,4.562368007822657
19,114,181,3.988805497223905
20,186,160,4.134108394239371
21,196,175,3.0504607802121018
23,149,193,4.608910151772595
24,170,176,3.896803177552599
25,128,183,4.875850717804353
26,185,199,4.913229419949531
28,155,189,4.804452851323907
30,156,173,4.370756476645192
32,149,187,3.3541890705778634
33,194,155,3.398255782962086
34,120,179,3.7542388370001274
35,101,157,3.350267894033739
36,167,166,4.895806569517586
37,166,178,3.8845272586296025
38,173,164,4.413106162904542
40,115,192,3.3236710753433263
