RGU Node,barQ_i(capacity),c_i(fixed cost),v_i(variable cost)
3,33,188,3.4692672821386386
8,92,179,4.351065675199914
11,91,161,3.3368761402933877
15,79,170,3.13049423125483
21,90,195,3.015346913835316
23,90,188,4.6440499691827135
33,95,170,3.7184694275607146
34,39,198,4.615579238936519
38,54,157,3.9442866196195085
41,51,189,4.109531077402085
43,75,155,3.8204637742151424
44,75,179,3.885084003500036
48,49,164,4.197509687441467
49,75,166,3.8019772693265903
52,35,166,3.0512127356127348
53,52,186,3.746561358870126
54,86,162,4.336744151619538
59,96,158,4.064600266683195
64,90,164,4.930288974127633
74,77,181,3.1078243134552572
79,47,184,3.119890142129679
86,81,178,4.025165744874601
94,42,155,3.91041662358633
99,78,164,4.954945450894857
102,76,155,3.3867396641597995
113,99,168,4.6823065929736565
114,53,193,3.0741525814974007
116,68,162,3.7933079491468726
117,68,160,3.4572465263305032
121,25,196,3.7052325204336425
125,51,152,4.888306936831004
127,37,170,3.7051711383870467
131,58,160,3.11655269720191
133,99,196,3.656143991033737
134,92,193,3.9781129339189003
135,45,171,3.7934359304633496
151,46,190,4.563426556099392
157,76,155,3.8131734111057627
161,49,172,3.6947693594567026
165,51,156,3.435167882709714
168,69,160,4.051933581800275
172,77,180,4.7075658000111025
183,40,158,3.0257223496217325
184,56,183,4.847255250999543
192,64,153,4.387183658601553
199,63,157,3.1835684954832257
202,71,176,3.8839004579351704
205,62,195,4.271289639611686
208,89,160,4.467071254557539
210,79,196,4.4696881083193505
214,30,180,3.3813975680189987
215,92,168,4.92588607863038
217,85,198,4.472240294307969
231,63,191,3.8240964418077255
232,76,162,3.971965704841026
234,89,192,4.431255333381273
246,27,173,4.31864135304604
248,94,169,3.5288047421968356
250,32,199,3.0506800942034955
320,93,183,4.4299196817563145
323,41,186,3.733840737813927
324,60,199,4.092253086948517
526,39,151,3.385408567787045
531,73,150,4.113232738224065
609,87,184,4.146383931266915
9001,79,157,4.021535946643126
9007,75,160,4.050126955416638
9012,25,154,4.985851908506337
9021,32,180,3.140099107283282
9025,87,159,3.473004742982405
9031,89,172,3.2222563813109133
9033,46,155,3.451366113864716
9036,62,157,3.4163457405947595
9038,30,189,4.415818838818249
9042,85,192,4.3882797453238105
9043,67,193,3.407865297353851
9051,92,166,4.607845211539277
9053,60,187,3.836675375717695
9071,34,179,4.311234679756872
9533,57,165,4.428521698528299
