Node,barQ_i(capacity),c_i(fixed cost),v_i(variable cost)
2,148,152,4.2030481239340975
3,162,194,4.406767598512779
4,138,166,3.1282086003159795
5,188,182,3.765062789775636
7,179,176,3.483695663016202
8,163,152,4.759531977405583
9,126,156,3.71799353832714
10,138,179,3.470628714231166
11,181,160,4.690111988222307
12,107,176,3.3670858944771647
13,135,159,3.788750490233681
14,152,181,4.8263077629317515
15,133,161,3.049166665535859
16,122,180,3.3090972784693955
18,191,168,3.9967459702801333
19,187,190,3.9074005849533124
20,187,164,4.946525320227448
21,115,165,4.787778718456176
22,154,196,4.2952254454281205
25,129,152,3.0622073061319037
27,182,151,3.3712920277242096
28,193,189,4.112366003014096
29,186,178,3.859850121426615
31,145,169,4.929925841018859
32,176,181,3.92348904925597
33,119,169,4.9019133031068165
34,158,184,3.3737557187134204
36,121,173,4.703520901885242
37,173,165,4.2876437181153975
38,104,168,4.723046427077706
