Node,barQ_i(capacity),c_i(fixed cost),v_i(variable cost)
2,110,197,3.8041690538755315
6,116,183,3.0018395782217313
7,169,199,3.840369069386261
8,184,180,4.26287221226458
9,163,186,4.869922188373301
10,193,168,4.847353169515469
11,137,190,3.6546996266481955
12,132,155,4.977722051238039
13,179,157,3.3753498804690376
17,104,168,4.646504036072063
18,119,185,3.314518974168089
19,119,174,3.810197305722319
20,139,192,3.1469466236145553
21,115,197,4.716077862396035
22,179,170,4.657596141953045
23,184,171,3.2795785970854325
25,138,177,4.054212953114165
26,102,182,3.516282993832613
27,171,173,3.9835514000376726
28,110,180,4.106412011898498
29,161,197,3.2125241023975146
30,117,186,4.7287511262022655
