RGU Nodes,1,2,3,4,5,6,7,8,9,10
3,0.021717291664190452,0.23221363653160987,0.5259667909001374,0.41153619881169357,0.07326547554360496,0.11596638244374513,0.517689024435274,0.057149395945670256,0.06698116747921345,0.6902426235159701
8,0.30402063857836503,0.9132196433868686,0.8537829000055511,0.8776164969216487,0.34753594148688793,0.13248822654380454,0.9868731835179771,0.13993516932145078,0.43655109146083093,0.9208786738155621
11,0.5161488397856568,0.400375096073877,0.012861174810866127,0.7718519303781817,0.49679605375203606,0.030622799624009267,0.7142687675432801,0.08372531220908219,0.5461878570621534,0.7126008272541143
15,0.10179991040172265,0.15021122525854713,0.9236276254997712,0.014756264604072866,0.24619358751359166,0.26548418481994507,0.8949020186480379,0.2640486179845606,0.659615081603995,0.5669981444687036
21,0.5082124716220263,0.10843037483243634,0.6935918293007765,0.33778374889261475,0.671754504968022,0.08613995330471835,0.31642991793456143,0.9982816412388675,0.743492875723448,0.8364478685790062
23,0.681489425698126,0.28828637967460446,0.09178424774161287,0.6510113193499216,0.8824939881604029,0.6692021591489536,0.0215519534151003,0.666592841013706,0.3018856757983267,0.1077460334175514
33,0.42049291994261595,0.32648391726834847,0.4419502289675852,0.3449593971135848,0.822451325635166,0.010106233537709342,0.5745150731142082,0.17768983468156607,0.5045141086615904,0.15014106518060555
34,0.5037832230430193,0.2544884157190228,0.6356448198058429,0.06716671659466567,0.09092259389296464,0.12969681285369117,0.9074693044662908,0.8263501694976363,0.15690260176445658,0.6931057152468781
38,0.2563711665356754,0.28918969588591026,0.7335356272787695,0.14464395005383512,0.05587130164458154,0.39120729311518176,0.06814053488339111,0.05585591219769093,0.8794714285767035,0.5827134731423406
41,0.8449873087371701,0.6821306603095594,0.7348440541596752,0.8532543218452439,0.06656914011774395,0.5277792399122326,0.48987237973461395,0.33229416674111545,0.6129791265707885,0.767434534527483
43,0.27817048236927977,0.1117528056651318,0.19069878400949947,0.1816135202346687,0.43711960387614623,0.4465630530323058,0.5463304830137802,0.7345565933491333,0.2522796428334544,0.9974788198727613
44,0.15070086696962726,0.10288663354875494,0.96294303931519,0.8478586894329422,0.2716390336304739,0.3155740169391221,0.2823414334155756,0.995787903365926,0.868995175626016,0.051768272635607904
48,0.8856938056393948,0.8667376896766972,0.7361201471539845,0.5677284582571565,0.7394040465057288,0.8221834950387167,0.5742710672525358,0.23700758311113812,0.6924588431064258,0.08847536258879318
49,0.04745621356028329,0.21191363414936526,0.4120482209038626,0.7759127888646193,0.7913086308419308,0.7041065317999563,0.6440734718867204,0.30027715064408367,0.8577242815101458,0.745623600402709
52,0.46036612010140676,0.05778416104855255,0.485982852420513,0.527917615379724,0.017880418454550573,0.7903354256588144,0.27493848019950407,0.9317731953135879,0.422975812684135,0.23626545987380154
53,0.8326026108119202,0.2165680223632046,0.7156276666906366,0.2641170572775411,0.05108779625629867,0.46940186222045355,0.12781026505830473,0.7738041994968291,0.07834317052041517,0.026001308781378407
54,0.7535086541414515,0.8629720886076522,0.6593206765230197,0.2127991978739877,0.8203355204099295,0.09774772181698943,0.715334930521973,0.61691222476991,0.45119769232541274,0.46850976931158195
59,0.7918115150111315,0.8099131540938376,0.2644023710984179,0.035646969775283144,0.7753914133497635,0.890845560931044,0.2758184346094864,0.05962166824070858,0.8326748981168851,0.9311364414400933
64,0.8820752743172413,0.44107329079833024,0.025340047101747865,0.2421614582748577,0.9645174033402468,0.24557296510175697,0.6063670310134259,0.9303790756244483,0.1064140212913316,0.5754819280448598
74,0.2876075608452685,0.20939446034294862,0.7149598408781571,0.750600854059066,0.07849517431395636,0.469012540021002,0.036312746571243504,0.9396684107928598,0.08587202591137466,0.5806781875258399
79,0.2268134640111651,0.17762581249974485,0.36692036890696356,0.14286921353793358,0.38403727302909907,0.546918576669657,0.28331085007937973,0.8642198686980961,0.32759055422106365,0.5586727418350764
86,0.014041455586699891,0.06182545089759972,0.5461265434742588,0.016720294281425185,0.5090372091011456,0.25396511358442864,0.6938331723830341,0.0034536848690152055,0.5734623329784448,0.22254206800251974
