RGU Nodes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
4,0.004980929774615728,0.2028205596603484,0.2268134640111651,0.4999338253550668,0.17762581249974485,0.059945071064839484,0.36692036890696356,0.7078067536510722,0.14286921353793358,0.2649203808732846,0.38403727302909907,0.15745970161321865,0.546918576669657,0.9369987569393925,0.28331085007937973,0.7362565305224789,0.8642198686980961,0.20325912057038853,0.32759055422106365,0.8480725759339267,0.5586727418350764,0.049068694891264864,0.21924504046766669,0.24768898469924605,0.5811225948502882,0.23322995501334776,0.5646074087275487,0.9059443586852657,0.2424259830263903,0.8948451040745635,0.6394076947714451,0.23396863193619555,0.9760784303201108,0.3166724163286164,0.24097329222258523,0.04614190927790163,0.6516394845122366,0.03973555764180725,0.7960188336525555,0.6436469841679096,0.9023714006123791,0.04059557795812008,0.1033881690407985,0.6725934847163155,0.8486407449109379,0.009038352781564063,0.4315182052870843,0.1622368345938896,0.551067782652865,0.8490061967715841
5,0.30843164807213286,0.5306039246305182,0.014041455586699891,0.7218417969944996,0.06182545089759972,0.5125828724373007,0.5461265434742588,0.20085477321958967,0.016720294281425185,0.9772608303576159,0.5090372091011456,0.029804213698279902,0.25396511358442864,0.563210986262872,0.6938331723830341,0.9797311093538212,0.0034536848690152055,0.6040338863237766,0.5734623329784448,0.6172404376702783,0.22254206800251974,0.22591024277140304,0.1752440328442879,0.2210675629358193,0.08765019186922685,0.6964921513547001,0.975398188138288,0.9563309692827393,0.5803889394294172,0.3340079514569366,0.35265521375267583,0.9974415707950605,0.40281075996045457,0.8737384863220349,0.9130128125571346,0.04476934492671669,0.39573202459648305,0.2944570448055298,0.4583537824819093,0.9809679062140478,0.5822286932973378,0.6524155130171372,0.5062073273399945,0.12485125944335607,0.6158597052662156,0.5600983430803692,0.21173603012576792,0.9624378434181159,0.6802938206139594,0.1654320011419581
6,0.5566671279809834,0.6174803642808709,0.7031719637748136,0.35801550835209595,0.5361209910229939,0.455208311793165,0.19270428389352245,0.611550503921924,0.10472099505773125,0.22837234280125207,0.900869153260128,0.13570472468604977,0.6421144034226419,0.9193658496628248,0.10880542393715853,0.5867395911313252,0.6468118528888487,0.014022218784699447,0.46496742376083,0.3199707379384217,0.6972042374451735,0.5003621729234691,0.9124443029113035,0.2689823323823338,0.36951048591061786,0.8164583202432606,0.4008533700727206,0.349489561256918,0.7351223103538016,0.9012037790048839,0.37128619551037534,0.4684427008763349,0.5705280579863377,0.021583092116641223,0.04196268633185529,0.07575024130954744,0.7727275348352252,0.05521934029828013,0.9464624425054482,0.43348515592190195,0.4173976703156774,0.9379113394470798,0.9410973232347509,0.13353669149607905,0.7733477876901642,0.6221170371985346,0.5279804179408866,0.7665737982006229,0.9371561756041253,0.6015448638288247
8,0.9839746493645332,0.8597744744031237,0.1995445101905714,0.20552914857710225,0.20914933386203238,0.9774727254474285,0.5566163691120327,0.6923838879403398,0.2661133743316605,0.5504011512808269,0.849403647531704,0.6964502733890113,0.18221163967999687,0.3403169669912812,0.37614501430647584,0.7558419189866549,0.5251850121691771,0.8319639804306491,0.053264977706814376,0.7576024934120206,0.46767494005674015,0.09208587034403759,0.7545961712613369,0.5280509042891338,0.8609693855285048,0.9381076807023419,0.34792922436276263,0.9010892084442695,0.31701180995105893,0.30610924524627414,0.1525786795393025,0.23597219202729536,0.09245230446037012,0.10811603794913383,0.2968626806209532,0.8288148740806133,0.06092723930688837,0.7140773143718327,0.8281479298788466,0.01739741234119274,0.6608070623238358,0.4650983094166298,0.5006511183691851,0.8681958940524739,0.5300766844589916,0.5734057433644573,0.2803923368660568,0.7469511818312521,0.41536301955519406,0.9413766486599112
11,0.19066248901705363,0.07593223632561519,0.3852232099605063,0.4723135565093193,0.6065660177087048,0.19336983207989988,0.5731919656334575,0.17144190743457866,0.4239339874270337,0.1087059134159637,0.8986535370450214,0.38570178846503833,0.801829482728715,0.6534079770718871,0.6684209399174657,0.051013835493731285,0.40011148895620674,0.39307408628610163,0.6089793174618876,0.9964332890539233,0.45278909421172797,0.7725969348072105,0.5461283830539772,0.3066238977350235,0.5620839986358768,0.750857910860708,0.7154293677138607,0.9232354553061516,0.5079412336373401,0.20346225796041018,0.22345141524042822,0.9953019908669769,0.7826525887145179,0.5828704874674884,0.22088074984713157,0.5183169979109349,0.7141938762133981,0.6737668157532526,0.0052952039290941055,0.5735534646008478,0.5486581098995947,0.06836731255738737,0.6847373958700146,0.7784636114071707,0.974883404668961,0.9210702479387584,0.2034172447503284,0.6120531710011652,0.3154898888241615,0.8344934250506507
14,0.3947738030249266,0.8132722894415665,0.6438325283248387,0.9331349474837974,0.9616264985793784,0.8411532964868282,0.5107679733215629,0.43995308122162924,0.714056291183618,0.9136285777242812,0.1287272599667597,0.6648994961193276,0.5039209449691796,0.18671609596487526,0.593657329676578,0.5735033349911544,0.06009926956219325,0.45959400925974525,0.4206138055712345,0.49189644814940925,0.17275844471012347,0.8197784418815763,0.5923018272098093,0.5852616744733258,0.7518135606376085,0.06925439535167255,0.41976831216016597,0.7807584655661286,0.17270531519760357,0.9793017050599726,0.2184303329346754,0.12036348741174885,0.013231614322839813,0.46298297217073026,0.21554964692484824,0.272735202873033,0.9080601986054608,0.6263922161881815,0.39762620658671266,0.11852712109782182,0.9366111103002147,0.6297198996557067,0.6986668726141451,0.3672178078432191,0.6225842297647198,0.43447716345165044,0.11037206836697278,0.911405854332124,0.7764493179333252,0.7161117825788178
16,0.45868299378625477,0.6833428602001472,0.46992258504385065,0.4578316885461856,0.2578270595581714,0.037076290748700336,0.525063477708319,0.2741704843216882,0.4773121383294009,0.003225415547628341,0.5031780755292754,0.8444762222185256,0.8684655623529325,0.18780371162958232,0.8311531957368351,0.9614049574884727,0.945673867496392,0.7755185919250749,0.12213790411771486,0.06514040565270951,0.791443390213642,0.8430099454020908,0.11078539674481813,0.7941857199228557,0.03692280615397414,0.5802432476482818,0.21053898683537564,0.8373675371172913,0.134782202026268,0.09740210109623448,0.9868801237584971,0.30041500884920724,0.10135473410547013,0.21084465792356788,0.9736503845627187,0.12513952308474197,0.0636225921365342,0.5281222894724171,0.48334333532342166,0.650886806647157,0.4026998269143285,0.4382084331967171,0.9941665863521109,0.08466639726104574,0.7443005613722319,0.7602617292253878,0.917734413904599,0.3252403007109833,0.34513980929328913,0.967950180059994
18,0.4276331695790445,0.0324512426413327,0.009414103095066406,0.6940926051992685,0.4661440697609147,0.39665397457343643,0.9929259542531683,0.47102078416092297,0.6488258469982168,0.6264235144933256,0.509793544651314,0.027544269452883907,0.6379499465344572,0.5014974905642341,0.1799223345702583,0.6649713615542796,0.419439509588599,0.3575187659250151,0.35181988047077306,0.14086405765547172,0.5239770882844149,0.6519539803818022,0.27887117840724485,0.4850293519795801,0.6656358506683632,0.3957559229201004,0.4183229744020992,0.9490633504070294,0.2676293197304349,0.8674060024549881,0.5564381166039042,0.03892368155674508,0.44318575398484006,0.0638258714706702,0.3824097532081927,0.8013641510481033,0.48408765336621173,0.32422752973539215,0.6218190540693486,0.13886976986722133,0.9431832941630963,0.4612715984069762,0.7893562460950978,0.5009762088121144,0.45812195744115214,0.7690298924236337,0.7186494864904911,0.9990942347938745,0.17581115456034102,0.9570768827771156
19,0.49778382794216025,0.09662534155051405,0.9874567760777181,0.6104309861128908,0.9902449970593624,0.2286232631652516,0.070049553641641,0.8271515066071601,0.08942112238636979,0.46996605616027476,0.7314700174254217,0.9522570104000964,0.7957834833856618,0.6107236119699652,0.014160290242209772,0.142951285374031,0.004173250312996202,0.19390597134796572,0.9408362892733961,0.17981349838372673,0.6030363776359848,0.4716498442293552,0.8281783580678886,0.6108484995893465,0.9385112990077604,0.3361358557488042,0.8275243965178222,0.12672277017888833,0.7551271733903987,0.8502705913887081,0.2866466721387829,0.6448050035832491,0.6131244066925415,0.5497047443521648,0.7172761882920985,0.38776768117373706,0.6959610276204607,0.8084599220841505,0.5872487534519961,0.4853565870570975,0.7631291041871212,0.4460308178800121,0.7078097826078157,0.6228713424379649,0.10075445505815595,0.5456222089282794,0.42185225320206443,0.2044579311501279,0.006240423199324607,0.5671783639841764
20,0.22774399680495505,0.2222560257445919,0.7567483842766428,0.3572849127692017,0.7238588392891011,0.35261626021682113,0.23650237149120257,0.9569086107651312,0.1495824714530466,0.34952901916895696,0.22336807146116266,0.6828505194623234,0.7957430588600418,0.723947129919241,0.7936287196347795,0.05636121571700625,0.2971268286458818,0.9621593903787579,0.8122727633208234,0.05070780546889031,0.6374365379741194,0.5448313077706715,0.5565740837830682,0.4373956411926567,0.7374636350982082,0.7662175489090826,0.5869619945176898,0.09336086531855536,0.5440612289286573,0.377603151112454,0.41748745402193477,0.5408802576069927,0.11194194871192076,0.3485026248608578,0.8579860465332155,0.8431159793615959,0.8020224032219635,0.43100645390912584,0.26923548644120876,0.6257391851649091,0.5332412584140557,0.1850230135586829,0.8248057908208017,0.5402115059671972,0.9679986842022352,0.2158108021264069,0.28852634938617205,0.6725788848161567,0.33775851160066384,0.35655958818486666
