Line No.,Bus No. 1,Bus No. 2,R (Resistance),X (Reactance),Rating MVA
1,1,2,0.01938,0.0592,130
2,1,5,0.05403,0.2230,130
3,2,3,0.04699,0.1980,65
4,2,4,0.05811,0.1763,130
5,2,5,0.05695,0.1739,130
6,3,4,0.06701,0.1710,65
7,4,5,0.01335,0.0421,90
8,4,7,0,0.2091,70
9,4,9,0,0.5562,130
10,5,6,0,0.2520,32
11,6,11,0.09498,0.1989,65
12,6,12,0.12291,0.2558,32
13,6,13,0.06615,0.1303,65
14,7,8,0,0.1762,65
15,7,9,0,0.1100,65
16,9,10,0.03181,0.0845,65
17,9,14,0.12711,0.2704,32
18,10,11,0.08205,0.1921,32
19,12,13,0.22092,0.1999,32
20,13,14,0.17093,0.3480,16
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
