Node,barQ_i(capacity),c_i(fixed cost),v_i(variable cost)
2,188,184,3.978096249429636
3,146,166,3.707370163099431
4,142,176,3.192404039712973
5,124,160,4.4191220099266495
6,183,173,4.583241200130129
7,115,152,3.088623000674799
8,134,175,4.251845498520286
9,106,176,3.499724596558057
10,151,166,3.8545124832394464
11,160,175,4.581026994523535
12,154,158,4.063203378394162
15,154,195,3.0260748641900523
16,119,164,3.0397501073906055
17,137,190,3.7808360610378724
18,133,182,4.790604057087445
19,168,185,3.4631074564042024
21,127,153,3.8887042590905216
23,162,186,3.2881460112571776
25,145,181,4.619371881775834
26,196,153,3.7643237519957555
28,167,163,3.713851145875183
30,118,195,3.513707598361429
